location,n,hashtag,covid_period,lon,lat
"Abilene, TX",2,Edchat,before,-99.73314390000002,32.4487364
"Abingdon, VA",2,Edchat,before,-81.9773482,36.70983349999999
"Adelaide, Australia",2,Edchat,before,138.6007456,-34.9284989
"Agoura Hills, CA",2,Edchat,before,-118.7616764,34.1533395
"Aiken, SC",2,Edchat,before,-81.7195533,33.5604168
"Alabaster, AL",2,Edchat,before,-86.8163773,33.2442813
"Albany, OR",2,Edchat,before,-123.1059282,44.6365107
Albuquerque,2,Edchat,before,-106.650422,35.0843859
"Alexandria, VA (D.C. area)",2,Edchat,before,-77.0469214,38.8048355
Alice Springs,2,Edchat,before,133.8807471,-23.698042
All over,2,Edchat,before,NA,NA
"Allentown, Pennsylvania",2,Edchat,before,-75.4714098,40.6022939
"Alpharetta, GA",2,Edchat,before,-84.2940899,34.0753762
"Alton, IL",2,Edchat,before,-90.1842764,38.8906038
"Altoona, PA",2,Edchat,before,-78.3947359,40.5186809
"Ames, IA",2,Edchat,before,-93.63191309999999,42.0307812
"Amherst, MA",2,Edchat,before,-72.5198537,42.3732216
"Anchorage, AK",2,Edchat,before,-149.8996785,61.2175758
Anywhere,2,Edchat,before,NA,NA
Aotearoa,2,Edchat,before,174.885971,-40.900557
Appalachia,2,Edchat,before,NA,NA
"Apple Valley, MN",2,Edchat,before,-93.21772000000001,44.7319094
"Arlington, TN",2,Edchat,before,-89.661469,35.2961973
"Arnprior, Ontario",2,Edchat,before,-76.3518469,45.4347445
Aruba,2,Edchat,before,-69.968338,12.52111
"Arvada, CO",2,Edchat,before,-105.0874842,39.8027644
Asia,2,Edchat,before,100.6196553,34.047863
Athens,2,Edchat,before,23.7275388,37.9838096
"Athens, Georgia",2,Edchat,before,-83.357567,33.9519347
Atlanta GA,2,Edchat,before,-84.3879824,33.7489954
Auckland NZ,2,Edchat,before,174.7644881,-36.85088270000001
"Auckland, NZ",2,Edchat,before,174.7644881,-36.85088270000001
"Aurora, CO",2,Edchat,before,-104.8319195,39.7294319
"Aurora, NE",2,Edchat,before,-98.00300329999999,40.8672415
Austin,2,Edchat,before,-97.7430608,30.267153
Austria,2,Edchat,before,14.550072,47.516231
"Bakersfield, California, USA",2,Edchat,before,-119.0187125,35.3732921
"Baltimore, MD, USA",2,Edchat,before,-76.6121893,39.2903848
"Bardstown, KY",2,Edchat,before,-85.46690249999999,37.8092279
"Barrie, Ontario",2,Edchat,before,-79.6903316,44.38935559999999
"Basking Ridge, NJ",2,Edchat,before,-74.5493284,40.7066174
"BC, Canada",2,Edchat,before,-127.6476206,53.7266683
"Beach Park, IL",2,Edchat,before,-87.85729549999999,42.4222435
"Beaufort, SC",2,Edchat,before,-80.6698286,32.4315813
"Beaverton, Oregon",2,Edchat,before,-122.804032,45.4869283
"Bedford, NS",2,Edchat,before,-63.6899963,44.7233504
"Belleville, Ontario",2,Edchat,before,-77.3832315,44.1627589
"Bellingham, WA",2,Edchat,before,-122.4786854,48.7519112
"Bergen, Norway",2,Edchat,before,5.3220544,60.39126279999999
"Berlin, Deutschland",2,Edchat,before,13.404954,52.52000659999999
"Berrien Springs, MI",2,Edchat,before,-86.338905,41.9464342
"Berwyn, IL",2,Edchat,before,-87.7936685,41.85058739999999
"Bethlehem, GA",2,Edchat,before,-83.7137827,33.9320556
"Bhopal, India",2,Edchat,before,77.412615,23.2599333
"Bhubaneshwar, India",2,Edchat,before,85.8245398,20.2960587
"Bloomington, IL",2,Edchat,before,-88.99368729999999,40.4842027
"Bloomington, Illinois",2,Edchat,before,-88.99368729999999,40.4842027
"Blue Ridge, TX",2,Edchat,before,-96.4016498,33.2978909
"Bogota, Colombia",2,Edchat,before,-74.072092,4.710988599999999
"Bogotá, D.C., Colombia",2,Edchat,before,-74.072092,4.710988599999999
"Boise, Idaho",2,Edchat,before,-116.2023137,43.6150186
"Bolivar, MO",2,Edchat,before,-93.4104749,37.6144838
Boston Area,2,Edchat,before,-71.0588305,42.3600709
"Boston, MA USA",2,Edchat,before,-71.0588801,42.3600825
"Bothell, WA",2,Edchat,before,-122.2054452,47.76011099999999
"Bowie, MD",2,Edchat,before,-76.77913649999999,39.0067768
"Boynton Beach, FL",2,Edchat,before,-80.0905465,26.5317866
"Boys Town, NE",2,Edchat,before,-96.1319649,41.2611099
"Braintree, MA",2,Edchat,before,-71.0040013,42.2079017
Brantford,2,Edchat,before,-80.2644254,43.1393867
"Brantford, ON",2,Edchat,before,-80.2644254,43.1393867
"Brentwood, TN",2,Edchat,before,-86.78277720000001,36.0331164
"Brevard, NC",2,Edchat,before,-82.7342919,35.2334472
"Brewster, NY",2,Edchat,before,-73.6170721,41.3973163
"Bridgeport, CT",2,Edchat,before,-73.1894384,41.1792258
"Brookfield, WI",2,Edchat,before,-88.1064787,43.0605671
"Brookings, SD",2,Edchat,before,-96.79838769999999,44.3113573
brooklyn,2,Edchat,before,-73.9441579,40.6781784
"Brooklyn Park, MN",2,Edchat,before,-93.3563405,45.0941315
"Brooklyn, New York",2,Edchat,before,-73.9441579,40.6781784
"Brooksville, FL",2,Edchat,before,-82.3878709,28.5552719
"Broomfield, CO",2,Edchat,before,-105.0866504,39.9205411
"Bryan, TX",2,Edchat,before,-96.3699632,30.6743643
"Buckeye, AZ",2,Edchat,before,-112.5837766,33.3703197
Budapest,2,Edchat,before,19.040235,47.497912
Buffalo,2,Edchat,before,-78.8783689,42.88644679999999
"Burbank, IL",2,Edchat,before,-87.76073799999999,41.7467619
"Burleson, TX",2,Edchat,before,-97.3208492,32.5420821
"Burlington, WA",2,Edchat,before,-122.3254375,48.4756621
"Burnaby, British Columbia",2,Edchat,before,-122.9805104,49.2488091
"Burton upon Trent, England",2,Edchat,before,-1.6371359,52.81402809999999
"Calgary, AB, Canada",2,Edchat,before,-114.0718831,51.04473309999999
CANADA,2,Edchat,before,-106.346771,56.130366
"Canonsburg, PA",2,Edchat,before,-80.18727969999999,40.2625702
Cape Cod,2,Edchat,before,-70.29624079999999,41.6687897
"Carmel, CA",2,Edchat,before,-121.9232879,36.5552386
"Carrboro, NC",2,Edchat,before,-79.0752895,35.9101438
"Castle Rock, CO",2,Edchat,before,-104.8560902,39.3722121
"Castro Valley, CA",2,Edchat,before,-122.0738678,37.6955029
"Cedar Falls, Iowa",2,Edchat,before,-92.4453161,42.5348993
"Cedar Rapids, Iowa",2,Edchat,before,-91.6656232,41.9778795
"Centre Wellington, Ontario",2,Edchat,before,-80.42527969999999,43.687522
"Champaign, IL",2,Edchat,before,-88.2433829,40.1164204
Chandigarh,2,Edchat,before,76.7794179,30.7333148
"Chantilly, VA",2,Edchat,before,-77.43109919999999,38.8942786
"Chappaqua, NY",2,Edchat,before,-73.764855,41.1595399
"Charleston, South Carolina",2,Edchat,before,-79.93105120000001,32.7764749
"Charlotte, NC, USA",2,Edchat,before,-80.8431267,35.2270869
"Charlotte/Huntersville, NC",2,Edchat,before,-80.84285040000002,35.410694
"Charlottesville, Virginia",2,Edchat,before,-78.47667810000002,38.0293059
"Chesterfield, VA",2,Edchat,before,-77.5049863,37.3770935
"Chesterton, IN",2,Edchat,before,-87.06419919999999,41.6105937
chicago,2,Edchat,before,-87.6297982,41.8781136
Chicago Suburbs,2,Edchat,before,-87.6297982,41.8781136
"Chicago Suburbs, IL",2,Edchat,before,-87.6297982,41.8781136
"Chicago, IL, USA",2,Edchat,before,-87.6297982,41.8781136
Chicagoland area,2,Edchat,before,-88.0118473,41.7435073
"Chino Hills, CA",2,Edchat,before,-117.7325848,33.9898188
"Chula Vista, California",2,Edchat,before,-117.0841955,32.6400541
"Claremore, OK",2,Edchat,before,-95.61609,36.3125963
"Clayton, NC",2,Edchat,before,-78.4563914,35.650711
CLE,2,Edchat,before,NA,NA
"Clinton, OK",2,Edchat,before,-98.9673069,35.5156056
"Coconut Creek, FL",2,Edchat,before,-80.17893509999999,26.2517482
"Coeur d'Alene, ID",2,Edchat,before,-116.7812225,47.6734632
"Coeur d'Alene, Idaho",2,Edchat,before,-116.7812225,47.6734632
"Colchester, CT",2,Edchat,before,-72.3320051,41.5756728
"Colleyville, TX",2,Edchat,before,-97.155012,32.8809603
"Collinsville, IL",2,Edchat,before,-89.9845476,38.6703266
"Cologne, Germany",2,Edchat,before,6.9602786,50.937531
"Colonia, NJ",2,Edchat,before,-74.3039227,40.584867
"Colonie, NY",2,Edchat,before,-73.77132,42.7236699
"Colorado Springs, Colorado",2,Edchat,before,-104.8213634,38.8338816
"Columbia, SC, USA",2,Edchat,before,-81.0348144,34.0007104
"Commack, NY",2,Edchat,before,-73.29289430000001,40.8428759
"Conover, NC",2,Edchat,before,-81.2186933,35.7065217
"Coppell, TX",2,Edchat,before,-97.01500779999999,32.9545687
"Corby, England",2,Edchat,before,-0.6842332999999999,52.49229829999999
"Corona, CA",2,Edchat,before,-117.5664384,33.8752935
"Corpus Christi, TX",2,Edchat,before,-97.39638099999999,27.8005828
"Cranbrook, British Columbia",2,Edchat,before,-115.7694002,49.5129678
"CT, USA",2,Edchat,before,-73.087749,41.6032207
"Cumming, GA",2,Edchat,before,-84.14019259999999,34.2073196
"Cypress, Texas",2,Edchat,before,-95.6937856,29.9716905
"Dakar, Senegal",2,Edchat,before,-17.4676861,14.716677
"Dallas, Texas, USA",2,Edchat,before,-96.79698789999999,32.7766642
"Danvers, MA",2,Edchat,before,-70.93212199999999,42.5750009
"Dayton, Ohio",2,Edchat,before,-84.1916069,39.7589478
DC,2,Edchat,before,NA,NA
DC Metro Area,2,Edchat,before,-77.3783789,39.1289725
"Deale, MD",2,Edchat,before,-76.5552359,38.7765055
"Dedham, MA",2,Edchat,before,-71.1676536,42.2436085
"Deerfield, IL",2,Edchat,before,-87.8445119,42.1711365
"DeKalb, IL",2,Edchat,before,-88.74991279999999,41.9295355
"Delta, British Columbia",2,Edchat,before,-123.0264759,49.09521549999999
"Den Haag, Nederland",2,Edchat,before,4.3006999,52.0704978
Denmark,2,Edchat,before,9.501785,56.26392
"Denver, Colorado, USA",2,Edchat,before,-104.990251,39.7392358
DFW,2,Edchat,before,-97.0403352,32.8998091
"Dhaka, Bangladesh",2,Edchat,before,90.4125181,23.810332
"District of Columbia, USA",2,Edchat,before,-77.0368707,38.9071923
DMV,2,Edchat,before,NA,NA
"Doylestown, PA",2,Edchat,before,-75.1298939,40.3101063
"Draper, UT",2,Edchat,before,-111.8638226,40.5246711
"Dresden, Germany",2,Edchat,before,13.7372621,51.0504088
"Dripping Springs, TX",2,Edchat,before,-98.0866781,30.1902067
"Dublin, Georgia",2,Edchat,before,-82.90375399999999,32.5404447
"Durham, North Carolina",2,Edchat,before,-78.898619,35.9940329
East Tennessee,2,Edchat,before,-86.5804473,35.5174913
Eastern North Carolina,2,Edchat,before,-79.01929969999999,35.7595731
Eastern Ontario,2,Edchat,before,-85.3232139,51.253775
"Easton, MA",2,Edchat,before,-71.1286594,42.0245442
"Eatonville, WA",2,Edchat,before,-122.266502,46.86732629999999
"Edmond, OK",2,Edchat,before,-97.47809540000002,35.6528323
"El Dorado Hills, CA",2,Edchat,before,-121.082167,38.6857367
"Elgin, IL",2,Edchat,before,-88.2825668,42.0354084
"Elgin, TX",2,Edchat,before,-97.3702735,30.3496528
"Elizabeth City, NC",2,Edchat,before,-76.2510461,36.2946008
"Elkader, IA",2,Edchat,before,-91.4054159,42.8538739
"Ellicott City, MD",2,Edchat,before,-76.7983067,39.2673283
"Enola, PA",2,Edchat,before,-76.9338636,40.2900885
"Enugu, Nigeria",2,Edchat,before,7.5138947,6.448270099999999
"Erie, Pennsylvania",2,Edchat,before,-80.085059,42.12922409999999
"Espoo, Finland",2,Edchat,before,24.6559001,60.2054911
Exeter NH,2,Edchat,before,-70.9477546,42.9814292
"Fairfax, Virginia",2,Edchat,before,-77.30637329999999,38.84622359999999
"Fairfield, CT",2,Edchat,before,-73.2612615,41.1408363
"Fairport, NY",2,Edchat,before,-77.44193779999999,43.0986742
"Fall River, MA",2,Edchat,before,-71.1550451,41.7014912
"Farmington Hills, MI",2,Edchat,before,-83.3677168,42.4989936
"Farmington, CT",2,Edchat,before,-72.79502699999999,41.7360305
"Farmington, UT",2,Edchat,before,-111.8874392,40.9804999
"Fayetteville, GA",2,Edchat,before,-84.4550443,33.4486296
"Ferguson, MO",2,Edchat,before,-90.3053915,38.7442175
"Fishers, IN",2,Edchat,before,-86.0171742,39.9568857
FL,2,Edchat,before,-81.5157535,27.6648274
"Flagstaff, AZ",2,Edchat,before,-111.651302,35.1982836
"Flemington, NJ",2,Edchat,before,-74.85933179999999,40.5123258
"Flint, MI",2,Edchat,before,-83.6874562,43.0125274
"Forest Grove, Oregon",2,Edchat,before,-123.1121017,45.5196767
"Forest Hills, NY",2,Edchat,before,-73.8448469,40.718106
"Forney, TX",2,Edchat,before,-96.4719312,32.7481845
"Fort Mill, SC",2,Edchat,before,-80.94507589999999,35.0073697
"Fredericksburg, VA",2,Edchat,before,-77.4605399,38.3031837
"Freehold, NJ",2,Edchat,before,-74.3000878,40.2136754
"Frisco, Texas",2,Edchat,before,-96.82361159999999,33.1506744
"Fullerton, CA",2,Edchat,before,-117.9242123,33.8703645
"Fulton, MO",2,Edchat,before,-91.94795859999999,38.84670819999999
"Fuquay-Varina, NC",2,Edchat,before,-78.80001279999999,35.584323500000004
Gaia,2,Edchat,before,NA,NA
"Galesburg, IL",2,Edchat,before,-90.3712395,40.94781580000001
"Galveston, TX",2,Edchat,before,-94.7976958,29.3013479
"Georgetown, KY",2,Edchat,before,-84.55883109999999,38.2097967
"Georgetown, Texas",2,Edchat,before,-97.6779842,30.6332618
"Glassboro, NJ",2,Edchat,before,-75.1118422,39.70289229999999
"Glassboro, NJ, USA",2,Edchat,before,-75.1118422,39.70289229999999
"Glastonbury, CT",2,Edchat,before,-72.5450779,41.6861794
"Glen Allen, VA",2,Edchat,before,-77.5063739,37.665978
"Glen Ellyn, IL",2,Edchat,before,-88.0670118,41.8775293
Global Citizen,2,Edchat,before,NA,NA
"Gloucester, MA",2,Edchat,before,-70.6619888,42.6159285
Gold Coast,2,Edchat,before,153.4,-28.016667
"Golden, CO",2,Edchat,before,-105.2210997,39.755543
"Goldsboro, NC",2,Edchat,before,-77.9927651,35.3848841
"Goshen, Indiana",2,Edchat,before,-85.8267552,41.5868377
Granada,2,Edchat,before,-3.5984368,37.1774605
"Granada, España",2,Edchat,before,-3.5984368,37.1774605
"Grand Island, Nebraska",2,Edchat,before,-98.3420118,40.9263957
"Grand Prairie, Texas",2,Edchat,before,-96.99778459999999,32.7459645
"Grapevine-Colleyville, Texas",2,Edchat,before,-97.0713572,32.9015724
Great Britain,2,Edchat,before,-2.4290148,53.8337367
Greater Kansas City,2,Edchat,before,-94.5785667,39.0997265
Greater New York Area,2,Edchat,before,-74.0059544,40.7127761
Greater NYC Area,2,Edchat,before,-74.0059544,40.7127761
Greater Sudbury / Grand Sudbur,2,Edchat,before,-80.99302899999999,46.4917317
"Greece, NY",2,Edchat,before,-77.6930602,43.2097837
"Greeneville, TN",2,Edchat,before,-82.83098609999999,36.1631574
"Greenfield, IN",2,Edchat,before,-85.7694226,39.785043
"Greenfield, WI",2,Edchat,before,-88.0125865,42.9614039
"Greenwood, IN",2,Edchat,before,-86.10665259999999,39.6136578
"Greer, SC",2,Edchat,before,-82.2270568,34.9387279
Guam,2,Edchat,before,144.793731,13.444304
"Guam, USA",2,Edchat,before,144.793731,13.444304
"Gurnee, IL",2,Edchat,before,-87.90201859999999,42.3702996
"Haddon Township, NJ",2,Edchat,before,-75.0497448,39.9105176
"Halifax, NS",2,Edchat,before,-63.5752387,44.64876350000001
"Halton, Ontario",2,Edchat,before,-79.87448359999999,43.53253720000001
"Hamburg, Deutschland",2,Edchat,before,9.9936818,53.5510846
Hamilton Ontario,2,Edchat,before,-79.8711024,43.2557206
"Hamilton, OH",2,Edchat,before,-84.5613355,39.3995008
"Hamilton, ON",2,Edchat,before,-79.8711024,43.2557206
"Hanover, PA",2,Edchat,before,-76.9830358,39.8006553
"Harlingen, TX",2,Edchat,before,-97.69610259999999,26.1906306
"Hartselle, AL",2,Edchat,before,-86.9352842,34.4434282
"Hawke's Bay, New Zealand",2,Edchat,before,176.5804473,-39.6016597
"Hayward, CA",2,Edchat,before,-122.0809964,37.6687665
"Heber, UT",2,Edchat,before,-111.4133234,40.5070087
"Helsinki, Suomi",2,Edchat,before,24.938379,60.16985569999999
"Hendersonville, NC",2,Edchat,before,-82.4609528,35.3187279
"Henrietta, NY",2,Edchat,before,-77.6128039,43.0592452
"Hesperia, CA",2,Edchat,before,-117.3008784,34.4263886
"Hilton, NY",2,Edchat,before,-77.79334229999999,43.2881161
"Hinckley, IL",2,Edchat,before,-88.64091300000001,41.7689183
"Hitchin, England",2,Edchat,before,-0.283414,51.94921
"Hobart, Tasmania",2,Edchat,before,147.3257196,-42.8826055
"Hoboken, NJ",2,Edchat,before,-74.0323626,40.7439905
"Hollister, MO",2,Edchat,before,-93.2154587,36.6211735
"Horley, England",2,Edchat,before,-0.172109,51.173516
"Horseheads, NY",2,Edchat,before,-76.8205119,42.167019
"Horsham, PA",2,Edchat,before,-75.1285061,40.1784422
"Hot Springs, AR",2,Edchat,before,-93.05460029999999,34.5077615
houston,2,Edchat,before,-95.3698028,29.7604267
"Howell, MI",2,Edchat,before,-83.9293952,42.6072552
"Hudson, WI",2,Edchat,before,-92.7568703,44.9746896
"Huntersville, NC",2,Edchat,before,-80.84285040000002,35.410694
"Huntsville, Alabama",2,Edchat,before,-86.5861037,34.7303688
"Huntsville, TX",2,Edchat,before,-95.55077709999999,30.7235263
"Hurst, TX",2,Edchat,before,-97.1705678,32.8234621
IA,2,Edchat,before,-93.097702,41.8780025
IL,2,Edchat,before,-89.3985283,40.6331249
"Imperial, CA",2,Edchat,before,-115.5694391,32.8475528
"Incheon, Republic of Korea",2,Edchat,before,126.7052062,37.4562557
"Indianapolis, IN, USA",2,Edchat,before,-86.158068,39.768403
"Inglewood, CA",2,Edchat,before,-118.3531311,33.9616801
"Itasca, IL",2,Edchat,before,-88.0072909,41.9750287
"Jackson County, Georgia",2,Edchat,before,-83.54965659999999,34.1174511
"Jackson, WY",2,Edchat,before,-110.7624282,43.4799291
"Jefferson City, MO",2,Edchat,before,-92.1735164,38.57670170000001
"Jeffersonville, IN",2,Edchat,before,-85.7371847,38.2775702
"Jensen Beach, FL",2,Edchat,before,-80.22976969999999,27.2544906
"Johnson City, TN",2,Edchat,before,-82.3534727,36.313439700000004
"Johnston, Iowa",2,Edchat,before,-93.7130493,41.6709834
"Johnstown, PA",2,Edchat,before,-78.9219698,40.32674069999999
"Joliet, IL",2,Edchat,before,-88.0817251,41.525031
"Justin, TX",2,Edchat,before,-97.29612859999999,33.0848442
"Kampala, Uganda",2,Edchat,before,32.5825197,0.3475964
"Kano, Nigeria",2,Edchat,before,8.591956099999999,12.0021794
"Katonah, NY",2,Edchat,before,-73.6854137,41.2587043
"Kaufman, TX",2,Edchat,before,-96.3088693,32.5890238
"Kearney, MO",2,Edchat,before,-94.3621703,39.3677802
"Kearney, NE",2,Edchat,before,-99.0816784,40.69933030000001
"Kennewick, Wa",2,Edchat,before,-119.119948,46.2086683
"Kennewick, WA",2,Edchat,before,-119.119948,46.2086683
"Kenosha, WI",2,Edchat,before,-87.82118539999999,42.5847425
"Kerry, Ireland",2,Edchat,before,-9.5668632,52.15446069999999
"Kilgore, TX",2,Edchat,before,-94.87577089999999,32.3862619
"Kingsport, TN",2,Edchat,before,-82.5618186,36.548434
Kingston ON,2,Edchat,before,-76.4859544,44.2311717
"Kingston, Ontario, Canada",2,Edchat,before,-76.4859544,44.2311717
"Kissimmee, FL",2,Edchat,before,-81.40757099999999,28.2919557
Kuala Lumpur City,2,Edchat,before,101.686855,3.139003
"La Crosse, WI",2,Edchat,before,-91.25190169999999,43.8137751
"La Plata, MD",2,Edchat,before,-76.97525139999999,38.5292877
"Lacombe, Alberta",2,Edchat,before,-113.7306644,52.4684651
"Lahore, Pakistan",2,Edchat,before,74.35874729999999,31.5203696
"Lake Forest, IL",2,Edchat,before,-87.840625,42.2586342
"Lakeville, MN",2,Edchat,before,-93.24271999999999,44.6496868
"Lakewood, CA",2,Edchat,before,-118.1339563,33.8536269
"Lancaster, OH",2,Edchat,before,-82.5993294,39.7136754
"Land O' Lakes, FL",2,Edchat,before,-82.45759380000001,28.2188992
Langley,2,Edchat,before,-77.1588685,38.9464996
"Langley, B.C., Canada",2,Edchat,before,-122.6603519,49.1041779
"Langley, BC",2,Edchat,before,-122.6603519,49.1041779
"Lansing, MI",2,Edchat,before,-84.5555347,42.732535
Las Palmas de Gran Canaria,2,Edchat,before,-15.4653897,28.1008837
Las Vegas,2,Edchat,before,-115.1398296,36.1699412
"Lawrenceville, GA",2,Edchat,before,-83.9879625,33.9562149
"Leander, TX",2,Edchat,before,-97.8530686,30.5788055
Learning,2,Edchat,before,NA,NA
Lebanon,2,Edchat,before,35.862285,33.854721
"Leesburg, VA",2,Edchat,before,-77.5645323,39.1154523
"Lehigh Valley, PA",2,Edchat,before,-75.50437610000002,40.58336389999999
"Lexington, Kentucky",2,Edchat,before,-84.5037164,38.0405837
"Lexington, MA",2,Edchat,before,-71.2271531,42.4473497
"Libertyville, IL",2,Edchat,before,-87.9531303,42.2830786
"Lincoln, AL",2,Edchat,before,-86.1183061,33.6131588
"Lititz, PA",2,Edchat,before,-76.3069014,40.1573169
"Little Rock, Arkansas",2,Edchat,before,-92.2880157,34.7444618
"Livingston, LA",2,Edchat,before,-90.7478737,30.5021345
"Lockhart, TX",2,Edchat,before,-97.6699996,29.8849441
"Lomira, WI",2,Edchat,before,-88.443713,43.591382
london,2,Edchat,before,-0.1275862,51.5072178
London England | Doha Qatar,2,Edchat,before,51.53103979999999,25.2854473
"London, ON",2,Edchat,before,-81.2452768,42.9849233
"Long Branch, NJ",2,Edchat,before,-73.9923596,40.30427780000001
"Los Alamos, NM",2,Edchat,before,-106.3031138,35.8800364
Louisville,2,Edchat,before,-85.7584557,38.2526647
Macau,2,Edchat,before,113.543873,22.198745
"Macomb, IL",2,Edchat,before,-90.67179709999999,40.4592076
"Madison, SD",2,Edchat,before,-97.1139496,44.0060847
"Madison, Wisconsin",2,Edchat,before,-89.4007501,43.0721661
"Magnolia, TX",2,Edchat,before,-95.75078150000002,30.2093794
"Majalengka, Indonesia",2,Edchat,before,108.2274234,-6.8364221
"Malaga, Spain",2,Edchat,before,-4.4212655,36.721261
"Manchester, TN",2,Edchat,before,-86.0885993,35.4817431
Manila,2,Edchat,before,120.9842195,14.5995124
Manitoba,2,Edchat,before,-98.81387629999999,53.7608608
"Mansfield, MA",2,Edchat,before,-71.2190578,42.03345650000001
"Maple Ridge, BC",2,Edchat,before,-122.598398,49.2193226
"Maple Ridge, British Columbia",2,Edchat,before,-122.598398,49.2193226
"Maplewood, NJ",2,Edchat,before,-74.271992,40.7299793
"Marblehead, MA",2,Edchat,before,-70.8578024,42.49995819999999
"Margate City, NJ",2,Edchat,before,-74.50348579999999,39.327894
"Marietta, GA",2,Edchat,before,-84.5499327,33.95260200000001
"Marina del Rey, CA",2,Edchat,before,-118.4517449,33.9802893
"Markham, ON",2,Edchat,before,-79.3370188,43.8561002
"Markham, Ontario",2,Edchat,before,-79.3370188,43.8561002
"Marlborough, MA",2,Edchat,before,-71.5522874,42.3459271
"Martinsburg, WV",2,Edchat,before,-77.96388689999999,39.4562099
"Mason, MI",2,Edchat,before,-84.4435845,42.5792027
"Mason, OH",2,Edchat,before,-84.309939,39.3600586
"Maynard, MA",2,Edchat,before,-71.4495058,42.4334903
"MB, Canada",2,Edchat,before,-106.346771,56.130366
McHenry IL,2,Edchat,before,-88.2667534,42.333355
MD,2,Edchat,before,-76.64127119999999,39.0457549
"Mechanicsburg, PA",2,Edchat,before,-77.0080309,40.2132692
"Medfield, MA",2,Edchat,before,-71.30645969999999,42.18758260000001
"Medford, OR",2,Edchat,before,-122.8755949,42.3265152
MENA,2,Edchat,before,NA,NA
Menlo Park,2,Edchat,before,-122.1817252,37.4529598
"Merced, CA",2,Edchat,before,-120.4829677,37.3021632
"Meriden, CT",2,Edchat,before,-72.80704349999999,41.5381535
"Meridian, ID",2,Edchat,before,-116.3915131,43.6121087
Metro Atlanta,2,Edchat,before,-84.4382721,33.8498184
"Miami, Fl",2,Edchat,before,-80.1917902,25.7616798
"Michigan, United States",2,Edchat,before,-85.60236429999999,44.3148443
"Middletown, DE",2,Edchat,before,-75.7163207,39.449556
"Middletown, MD",2,Edchat,before,-77.5447102,39.4437123
"Middletown, NJ",2,Edchat,before,-74.09981789999999,40.3927801
"Mill Valley, CA",2,Edchat,before,-122.5449763,37.9060368
"Millbrae, CA",2,Edchat,before,-122.3871942,37.5985468
"Milton, Ontario, Canada",2,Edchat,before,-79.8774042,43.5182991
"Milton, WI",2,Edchat,before,-88.94399899999999,42.7755645
Milwaukee,2,Edchat,before,-87.9064736,43.0389025
"Minooka, IL",2,Edchat,before,-88.2617305,41.4553084
"Minot, ND",2,Edchat,before,-101.2922906,48.2329668
Mission Viejo,2,Edchat,before,-117.6581562,33.5968913
"Mission Viejo, CA",2,Edchat,before,-117.6581562,33.5968913
Mississauga,2,Edchat,before,-79.6441198,43.5890452
"Missoula, MT",2,Edchat,before,-113.9940314,46.8721284
"Modena, Emilia Romagna",2,Edchat,before,10.9252269,44.647128
"Monroe, MI",2,Edchat,before,-83.3977101,41.9164343
"Montgomery County, MD",2,Edchat,before,-77.2405153,39.1547426
"Montreal, QC",2,Edchat,before,-73.567256,45.5016889
"Mount Prospect, IL",2,Edchat,before,-87.9372908,42.0664167
"Mountain Brook, Alabama",2,Edchat,before,-86.75221069999999,33.5009384
"Mountain House, CA",2,Edchat,before,-121.543234,37.7793901
"Mullica Hill, NJ",2,Edchat,before,-75.22407179999999,39.7392804
München,2,Edchat,before,11.5819806,48.1351253
"Muncie, IN",2,Edchat,before,-85.3863599,40.1933767
"Nampa, ID",2,Edchat,before,-116.55978,43.5788175
"Napa, California",2,Edchat,before,-122.286865,38.2975381
"Naples, Florida, United States",2,Edchat,before,-81.7948103,26.1420358
Nashville TN,2,Edchat,before,-86.7816016,36.1626638
"New Bedford, MA",2,Edchat,before,-70.93420499999999,41.6362152
"New England, USA",2,Edchat,before,-70.8226541,43.9653889
"New Hope, PA",2,Edchat,before,-74.9512785,40.36427279999999
"New Hyde Park, NY",2,Edchat,before,-73.6879082,40.7351018
"New York City, NY",2,Edchat,before,-74.0059728,40.7127753
"New York City, USA",2,Edchat,before,-74.0059728,40.7127753
"Newark, MD",2,Edchat,before,-75.2910256,38.2506724
"Newburgh, NY",2,Edchat,before,-74.0104178,41.5034271
"Newburyport, MA",2,Edchat,before,-70.87727509999999,42.8125913
"Newington, CT",2,Edchat,before,-72.7228293,41.6972996
"Newnan, GA",2,Edchat,before,-84.79965729999999,33.3806716
"Newport Beach, CA",2,Edchat,before,-117.9298493,33.6188829
"Newton, NC",2,Edchat,before,-81.22147079999999,35.6698552
Niagara,2,Edchat,before,-78.98530116299872,43.08622103757099
"Niagara Falls, Ontario",2,Edchat,before,-79.0849436,43.0895577
"Nicholasville, KY",2,Edchat,before,-84.5729961,37.8806341
"Niles, MI",2,Edchat,before,-86.2541768,41.829769400000004
nj,2,Edchat,before,-74.4056612,40.0583238
NJ/NY,2,Edchat,before,-74.4056612,40.0583238
Noida,2,Edchat,before,77.3910265,28.5355161
"Norfolk, VA",2,Edchat,before,-76.28587259999999,36.8507689
"Norman, Oklahoma",2,Edchat,before,-97.4394777,35.2225668
"Norristown, PA",2,Edchat,before,-75.3399048,40.121497
"North Bergen, NJ",2,Edchat,before,-74.012084,40.8042674
"North Canton, Ohio",2,Edchat,before,-81.4023356,40.875891
